feature_dim,mean,std,min,max,zscore_normalized,minmax_normalized
bandwidth_0,2309.69417444994,734.7663048655567,0.0,4948.280022921271,False,False
centroid_0,1713.598371278774,943.1084226119679,0.0,7431.866895920612,False,False
contrast_0,11.068669850156661,4.720054444360886,7.993997215294257e-07,85.08615673564361,False,False
contrast_1,8.356984375873868,3.349824975804506,7.993997215294257e-07,39.05791325840256,False,False
contrast_2,11.445970860160084,4.211685843296809,3.996998856337086e-07,44.405286756444525,False,False
contrast_3,13.886796655877257,4.6885612579657465,7.993997215294257e-07,84.24113076805894,False,False
contrast_4,16.48429000823504,4.908270841423142,7.993997215294257e-07,72.15270302752384,False,False
contrast_5,18.15733756734391,5.743869793267685,7.993997215294257e-07,78.1629556270563,False,False
contrast_6,43.17890507715976,4.709993389502457,7.993997215294257e-07,77.5028199214043,False,False
embeddings_0,-0.3370981812477112,0.3105078935623169,-1.646701455116272,0.9573000073432922,False,False
embeddings_1,-0.25683096051216125,0.2878812551498413,-1.466644287109375,0.9947722554206848,False,False
embeddings_2,-2.537536382675171,1.6846438646316528,-7.80388069152832,4.112620830535889,False,False
embeddings_3,0.0033901056740432978,0.20641359686851501,-0.8877317309379578,0.7890479564666748,False,False
embeddings_4,-0.6737486720085144,0.8676465749740601,-3.9184296131134033,2.9296820163726807,False,False
embeddings_5,0.13846340775489807,0.4261597692966461,-1.3306406736373901,1.628028392791748,False,False
embeddings_6,-0.3568194806575775,0.32018640637397766,-1.358205795288086,1.2356115579605103,False,False
embeddings_7,-0.2838872969150543,0.3705359697341919,-1.6586984395980835,1.3783379793167114,False,False
embeddings_8,0.21502240002155304,0.27059412002563477,-0.8629391193389893,1.3493069410324097,False,False
embeddings_9,-0.032892003655433655,0.45458707213401794,-1.6828731298446655,2.101816177368164,False,False
embeddings_10,-0.0976904034614563,0.375631719827652,-2.0292389392852783,1.527564525604248,False,False
embeddings_11,0.15761171281337738,0.24443599581718445,-0.752180814743042,1.2757601737976074,False,False
embeddings_12,-0.0033523819874972105,0.3460232615470886,-1.3292733430862427,1.592380166053772,False,False
embeddings_13,0.009732098318636417,0.31926411390304565,-1.4524427652359009,1.3859915733337402,False,False
embeddings_14,0.04701627790927887,0.251118540763855,-0.9686627984046936,1.2300114631652832,False,False
embeddings_15,0.623534083366394,0.7419853806495667,-2.343319892883301,3.3204410076141357,False,False
embeddings_16,-0.14913083612918854,0.22581323981285095,-1.0041242837905884,0.8471145629882812,False,False
embeddings_17,-0.5099800825119019,0.5747606754302979,-2.6948916912078857,1.526879906654358,False,False
embeddings_18,0.1821526437997818,0.3835102319717407,-1.5151177644729614,1.4740365743637085,False,False
embeddings_19,0.1702367663383484,0.26155322790145874,-0.854064404964447,1.0355628728866577,False,False
embeddings_20,-0.006088875699788332,0.39346835017204285,-1.5388823747634888,1.7174758911132812,False,False
embeddings_21,-0.17567995190620422,0.22988493740558624,-1.0152093172073364,0.9093404412269592,False,False
embeddings_22,0.1802404522895813,0.186872199177742,-0.616910994052887,0.9993607401847839,False,False
embeddings_23,-0.5598179697990417,0.47198405861854553,-2.1266462802886963,1.0975308418273926,False,False
embeddings_24,0.003622295567765832,0.25685182213783264,-1.0785189867019653,1.1172045469284058,False,False
embeddings_25,-0.10625829547643661,0.26739242672920227,-1.507480502128601,1.1915687322616577,False,False
embeddings_26,0.05818227678537369,0.20503517985343933,-0.7830272316932678,0.94991135597229,False,False
embeddings_27,-0.34801527857780457,0.4919253885746002,-2.3540945053100586,1.7560676336288452,False,False
embeddings_28,-0.01589296944439411,0.3724050521850586,-1.6200337409973145,1.747639775276184,False,False
embeddings_29,0.13238027691841125,0.23944520950317383,-0.7036070823669434,0.9399734139442444,False,False
embeddings_30,0.15167786180973053,0.2721216380596161,-0.9651880860328674,1.3288260698318481,False,False
embeddings_31,0.025830557569861412,0.3047817647457123,-1.1420725584030151,1.362860083580017,False,False
embeddings_32,-0.08250932395458221,0.2937997281551361,-1.4312247037887573,1.191357970237732,False,False
embeddings_33,-0.05231349915266037,0.25092142820358276,-1.0426825284957886,0.9473803043365479,False,False
embeddings_34,-0.013181176967918873,0.037340108305215836,-0.16984514892101288,0.1058981642127037,False,False
