Model Name,Best Epoch,Train ROC-AUC Micro,Train Balanced Accuracy,Val ROC-AUC Micro,Val Balanced Accuracy,Gap ROC-AUC Micro,Gap Balanced Accuracy
DUMMY_Dummy_most_frequent_embeddings,,0.5,0.5,0.5,0.5,0.0,0.0
DUMMY_Dummy_stratified_embeddings,,0.6107482467051658,0.6003846140670603,0.4868421052631579,0.4876644736842105,0.1239061414420079,0.1127201403828498
TORCH_LOGISTIC_REGRESSION_TorchLR_lr0.001_e200_bs16_embeddings,1.0,,,0.949900256033227,0.7794222929202274,,
TORCH_LOGISTIC_REGRESSION_TorchLR_lr0.001_e200_bs48_embeddings,1.0,,,0.9533335757793164,0.7832247670791042,,
TORCH_LOGISTIC_REGRESSION_TorchLR_lr0.001_e200_bs512_embeddings,6.0,,,0.9574521905808944,0.7779503495995369,,
TORCH_LOGISTIC_REGRESSION_TorchLR_lr0.01_e200_bs16_embeddings,3.0,,,0.9364187084360092,0.7719013993744388,,
TORCH_LOGISTIC_REGRESSION_TorchLR_lr0.01_e200_bs48_embeddings,4.0,0.9941553185498916,0.8836494761967708,0.9404619579578124,0.7660876258989904,0.0536933605920794,0.1175618502977804
TORCH_LOGISTIC_REGRESSION_TorchLR_lr0.01_e200_bs512_embeddings,5.0,0.9961358262962302,0.8968566524840867,0.9479502595175636,0.7773337202660482,0.0481855667786665,0.1195229322180385
TORCH_LOGISTIC_REGRESSION_TorchLR_lr0.1_e200_bs16_embeddings,1.0,0.9635118713201932,0.886619631147582,0.8452065912535464,0.774992312228856,0.1183052800666469,0.111627318918726
TORCH_LOGISTIC_REGRESSION_TorchLR_lr0.1_e200_bs48_embeddings,1.0,0.9793143248911832,0.8775110641514179,0.8743398254419319,0.7727251576660343,0.1049744994492511,0.1047859064853835
TORCH_LOGISTIC_REGRESSION_TorchLR_lr0.1_e200_bs512_embeddings,5.0,0.9925965187242904,0.8778141839645752,0.9284897479798055,0.769577932879304,0.0641067707444847,0.1082362510852712
RANDOM_FOREST_RF_ne10_md5_embeddings,,0.9854142870588872,0.942904920231698,0.9638874780810188,0.8939221029609423,0.0215268089778685,0.0489828172707558
RANDOM_FOREST_RF_ne10_md10_embeddings,,0.9977960280683668,0.9866905210933116,0.9603764176315768,0.8587417534954398,0.03741961043679,0.1279487675978716
RANDOM_FOREST_RF_ne10_md15_embeddings,,0.9990879879993304,0.9944814874006748,0.9458011236418632,0.8218756576158033,0.0532868643574672,0.1726058297848713
RANDOM_FOREST_RF_ne20_md5_embeddings,,0.9869659543052588,0.9461832715354236,0.9676574441988124,0.8988245038491051,0.0193085101064465,0.0473587676863185
RANDOM_FOREST_RF_ne20_md10_embeddings,,0.998118225477777,0.9876694719148508,0.966550253514202,0.8614526805059173,0.031567971963575,0.1262167914089333
RANDOM_FOREST_RF_ne20_md15_embeddings,,0.9992748690656584,0.9948884500426788,0.9593900043836464,0.8264990584800076,0.0398848646820118,0.168389391562671
RANDOM_FOREST_RF_ne50_md5_embeddings,,0.9878967816617872,0.9483970127826836,0.969758997939028,0.901276290556318,0.0181377837227592,0.0471207222263654
RANDOM_FOREST_RF_ne50_md10_embeddings,,0.9983231401931472,0.9882973168137056,0.9713747816158864,0.8620943942153756,0.0269483585772607,0.1262029225983298
RANDOM_FOREST_RF_ne50_md15_embeddings,,0.9993928260738308,0.9950789342800417,0.9679450884115474,0.827085941637312,0.03144773766228348,0.1679929926427297
HIST_GRADIENT_BOOSTING_HGBT_iter50_lr0.05_md5_embeddings,,0.996799274864919,0.8435974822519767,0.9562307945740784,0.7335866888616249,0.04056848029084059,0.1100107933903518
HIST_GRADIENT_BOOSTING_HGBT_iter50_lr0.05_md10_embeddings,,0.99769205747049,0.8736554012105626,0.95043492510408,0.7351410029492371,0.04725713236640994,0.1385143982613255
HIST_GRADIENT_BOOSTING_HGBT_iter50_lr0.1_md5_embeddings,,0.9970165312423169,0.8985250301537311,0.9549959114975837,0.7508970312602636,0.042020619744733256,0.14762799889346745
HIST_GRADIENT_BOOSTING_HGBT_iter50_lr0.1_md10_embeddings,,0.9971215260647036,0.9298772217913689,0.9439826185152828,0.7517159238025701,0.053138907549420855,0.17816129798879876
HIST_GRADIENT_BOOSTING_HGBT_iter100_lr0.05_md5_embeddings,,0.9982675417378972,0.8983162063484634,0.9619468373467057,0.7544990509268776,0.036320704391191505,0.1438171554215858
HIST_GRADIENT_BOOSTING_HGBT_iter100_lr0.05_md10_embeddings,,0.9988935806933213,0.93068989166384,0.9577404296017116,0.7570303426529379,0.041153151091609774,0.17365954901090208
HIST_GRADIENT_BOOSTING_HGBT_iter100_lr0.1_md5_embeddings,,0.9978902676203041,0.935516748845726,0.9539672354095715,0.7573434964685146,0.04392303221073257,0.17817325237721138
HIST_GRADIENT_BOOSTING_HGBT_iter100_lr0.1_md10_embeddings,,0.9977473504950122,0.9583268886945727,0.9449785264016549,0.7564875663194898,0.05276882409335726,0.20183932237508295
SGD_SGD_losslog_loss_penaltyl2_alpha0.0001_iter500_embeddings,,0.9709535377850075,0.7939775717796514,0.9509651299435811,0.7644716799828932,0.019988407841426414,0.02950589179675822
SGD_SGD_losslog_loss_penaltyl2_alpha0.0001_iter1000_embeddings,,0.9709438628900163,0.7940078887159124,0.9509507604962959,0.7644450670095498,0.01999310239372043,0.029562821706362596
